Year,Problem,Tags,Text,Counting,General Definition and Properties of Probability,Conditional Probability,Random Variables,Expectation,Conditional Expectation,Important Discrete Distributions,Important Continuous Distributions,Jointly Distributed Random Variables,Convergence,Inequalities,Markov Chains,Important Examples
2015,1,"% Bayes' rule, LOTP ","\noin 1. A crime has been committed in a certain country. The perpetrator is one (and only one) of the $n$ men who live in the country. Initially, these $n$ men are all deemed equally likely to be the perpetrator. An eyewitness then reports that the crime was committed by a man with six fingers on his right hand.  Let $p_0$ be the probability that an innocent man has six fingers on his right hand, and $p_1$ be the probability that the perpetrator has six fingers on his right hand, with $p_0 < p_1$. (We may have $p_1 < 1$, since eyewitnesses are not 100\% reliable.) Let $a=p_0/p_1$ and $b=(1-p_1)/(1-p_0)$. 

\medskip

\noin Rugen lives in the country. He is found to have six fingers on his right hand.
\medskip

\noin (a) Given this information, what is the probability that Rugen is the perpetrator? Express your answer in terms of $n$ and $a$. 

\vspace{2.1in}


\noin (b)  Now suppose that all $n$ men who live in the country have  their hands checked, and Rugen is the \emph{only} one with six fingers on his right hand. Given this information, what is the probability that Rugen is the perpetrator? Express your answer in terms of $n,a,$ and $b$.
",1,1,1,0,0,0,0,0,0,0,0,0,0
2015,2,"% symmetry, independence, Jensen, variance","\noindent 2. Let $X,Y,Z$ be i.i.d.~(independent, identically distributed) r.v.s with a continuous distribution. Write the most appropriate of $\leq$, $ \geq$, $=$, or ?~in each blank (where ``?"" means that no relation holds in general). It is \emph{not} necessary on this problem to justify your answers.

\medskip
\medskip
\medskip
\medskip
\medskip

\noindent (a) $P(X<Y<Z)$  \underline{\phantom{blah}}  $1/6$ 

\vspace{0.85in}

\noindent (b) $P(X>1)$  \underline{\phantom{blah}} $E(X)$ 

\vspace{0.85in}

\noindent (c)    $P \left( \displaystyle \sum_{k=0}^{2015} \left( \frac{X^2+1}{X^2+2} \right)^k > 3 \right)$   \underline{\phantom{blah}} $P(X^2>1)$

\vspace{0.85in}

\noindent (d)  $E \left( \sqrt{X^2 + Y^2} \right)$  \underline{\phantom{blah}} $\sqrt{E(X^2)+E(Y^2)}$

\vspace{0.85in}

\noindent (e) $\var(Y^2|Z) $  \underline{\phantom{blah}} $\var(X^2|X)$

\vspace{0.85in}

\noindent (f) $\var(X-2Y+3Z)$ \underline{\phantom{blah}} $14 \var(X)$
",0,0,0,0,0,0,0,0,0,0,1,0,0
2015,3,"% Poisson process, Adam's law, Eve's law, conditional distributions, Poisson, Binomial, chicken-egg","\noin 3. Emails arrive in an inbox according to a Poisson process of rate $\lambda$ emails per hour. 

\medskip

\noin (a) Find the name and parameters of the conditional distribution of the number of emails that arrive in the first $2$ hours of an $8$-hour time period, given that exactly $n$ emails arrive in that time period. 

\vspace{2in}

\noin (b) Each email is legitimate with probability $p$ and spam with probability $q=1-p$, independently. Find the name and parameters of the conditional distribution of the number of legitimate emails that arrive in an $8$-hour time period, given that exactly $s$ spams arrived in that time period.

\vspace{1.64in}

\noin (c) Reading an email takes a random amount of time, with mean $\mu$ hours and \nobreak standard deviation $\sigma$ hours. These reading times are i.i.d.~and independent of the email arrival process. Find  the (unconditional) mean and variance of the total time it takes to read all the emails that arrive in an $8$-hour time period.
",1,1,1,1,1,1,1,0,0,0,0,0,1
2015,4,"% linearity, indicator r.v.s, inclusion-exclusion, Poisson approximation","\noin 4. There are $k$ distinguishable balls and $n$ distinguishable boxes. The balls are randomly placed in the boxes, with all $n^k$ possibilities equally likely. 

\medskip

\noin (a) Find the expected number of empty boxes (fully simplified,  \emph{not} as a sum).

\vspace{1.7in}

\medskip

\noin (b) Find the probability that at least one box is empty. Express your answer as a sum of at most $n$ terms. 

\vspace{2.1in}


\noin (c) Now let $n=1000, \, k=5806$. The expected number of empty boxes is then approximately equal to $3$. Find a good approximation for the probability that at least one box is empty (give a decimal approximation). You can use the handy fact  $e^3 \approx 20$. 
",1,1,0,1,1,0,1,0,0,0,0,0,0
2015,5,"% conditioning, Uniform","\noin 5. You are given an opportunity to bid on a mystery box containing a mystery prize! The value of the prize is completely unknown, except that it is worth at least nothing, and at most a million dollars. So the true value $V$ of the prize is considered to be Uniform on [0,1] (measured in millions of dollars).

\medskip

\noin You can choose to bid any nonnegative amount $b$ (in millions of dollars). If $b < \frac{1}{4} V$, then your bid is rejected and nothing is gained or lost. If $b \geq \frac{1}{4}V$, then your bid is accepted and your net payoff is $V - b$ (since you pay $b$ to get a prize worth $V$). 

\medskip

\noin Find your expected payoff as a function of $b$ (be sure to specify it for all $b \geq 0$). Then find the optimal bid $b$, to maximize your expected payoff.",1,1,0,1,1,1,0,0,0,0,0,0,0
2015,6,"% Expo, memoryless property","\noindent 6.  Suppose that the time until a radioactive particle decays is $\Expo(\lambda)$.

\medskip

\noin (a) Show that for $c$ a small, positive constant, the probability that such a particle decays in the time interval $(t,t+c]$, given that it has survived until time $t$, does not depend on $t$ and is approximately proportional to $c$.

\smallskip

\noin Hint: $e^x \approx 1+x$ if $x \approx 0$.

\vspace{2.3in}

\noin (b) Consider $3$ radioactive particles, with i.i.d.~times until decay $T_1,T_2,T_3 \sim \Expo(\lambda).$ Let $X$ be the {last} time at which one of the particles decays. Find $E(X)$. 

\medskip

\medskip",0,0,1,1,1,0,0,1,0,0,0,0,0
2015,7,"% Normal, LOTUS, universality of the Uniform, Log-Normal","\noin 7.  Let $X,Y,Z,W \sim \N(0,1)$ be i.i.d., and (as usual) let $\Phi$ be the $\N(0,1)$ CDF.

\medskip

\noin (a) Find an expression for $E\left(\Phi(Z)  e^Z\right)$ as an unsimplified integral.

\vspace{1.25in}

\noin (b) Find $E(\Phi(Z))$ and $E(e^Z)$ as fully simplified numbers.

\vspace{2.3in}

\noin (c) Find $P(X+Y < Z + W + 1)$, in terms of $\Phi$. 
",0,0,0,1,1,0,0,1,0,0,0,0,0
2015,8,"% Markov chains, reversibility","\noindent 8. Determine whether the Markov chain shown below is reversible, and find the stationary distribution of the chain. The label to the left of an arrow gives the corresponding  transition probability.

\smallskip

\begin{figure}[htbp] 
   \centering
   \includegraphics[width=4.2in]{figures/chain15.pdf} 
\end{figure}
",0,0,0,0,0,0,0,0,0,0,0,1,0
2016,1,,"\noin 1. Two different diseases cause a certain weird symptom; anyone who has either or both of these diseases will experience the symptom. Let $D_1$ be the event of having the first disease, $D_2$ be the event of having the second disease, and $W$ be the event of having the weird symptom. Suppose that $D_1$ and $D_2$ are independent with $P(D_j) = p_j$, and that a person with neither of these diseases will have the weird symptom with probability $w_0$. Let $q_j = 1-p_j$, and assume that $0<p_j<1$. 

\medskip

\noin (a) Find $P(W)$. 

\vspace{1.9in}

\noin (b) Find $P(D_1|W)$ and $P(D_1,D_2|W)$. 

 \vspace{2.2in}

\noin (c) Suppose for this part only that $w_0=0$. Are $D_1$ and $D_2$ conditionally independent given $W$? Give a clear, convincing intuitive explanation in words. ",1,1,1,0,0,0,0,0,0,0,0,0,0
2016,2,"% Binomial, symmetry, independence, Markov, Jensen, variance, MGF, properties of probability, conditional expectation","\noindent 2. Let $X,Y,Z \sim \Bin(n,p)$ be i.i.d.~(independent and identically distributed). Write the most appropriate of $\leq$, $ \geq$, $=$, or ?~in each blank (where ``?"" means that no relation holds in general). It is \emph{not} necessary on this problem to justify your answers.

\medskip
\medskip
\medskip
\smallskip

\noindent (a) $P(X<Y<Z)$  \underline{\phantom{blah}}  $1/6$ 

\vspace{1in}

\noindent (b) $P(X+Y+Z>n)$  \underline{\phantom{blah}} $3p$ 

\vspace{1in}

\noindent (c)    $P \left( \displaystyle \sum_{n=0}^{2016} \frac{(X^2+1)^n}{n!} > e^5\right)$   \underline{\phantom{blah}} $P(X>2)$

\vspace{1in}

\noindent (d)  $E \left( e^X \right)$  \underline{\phantom{blah}} $(pe + 1-p)^n$ 

\vspace{1in}

\noindent (e) $\var(X+Y) $  \underline{\phantom{blah}} $n/2$ 

\vspace{1in}

\noindent (f) $E(X \,|\,X+Y=n)$ \underline{\phantom{blah}} $n/2$",0,0,0,0,0,0,0,0,0,0,1,0,0
2016,3,"% Poisson, Adam, Eve, chicken-egg","\noin 3. Joe will read $N \sim \Pois(\lambda)$ books next year. Each book has a $\Pois(\mu)$ number of pages, with book lengths independent of each other and independent of $N$. 

\medskip

\noin (a) Find the expected number of book pages that Joe will read next year. 

\vspace{1.8in}

\noin (b) Find the variance of the number of book pages  Joe will read next year.  

\vspace{1.8in}

\noin (c) For each of the $N$ books, Joe likes it with probability $p$ and dislikes it with probability $1-p$, independently. Find the conditional distribution of how many of the $N$ books Joe likes, given that he dislikes exactly $d$ of the books.  ",0,0,0,1,1,1,1,0,0,0,0,0,1
